Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,15.346352577209473,,,,,19.068103790283203,72.82852935791016,19.068103790283203,72.82852935791016,,,,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,15.346352577209473,,,,,19.068071365356445,72.82852172851562,19.068300247192383,72.82853698730469,,,,,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,21.591691970825195,55.61909484863281,,,,19.0681209564209,72.82835388183594,19.06867027282715,72.82850646972656,,,,164,,,,,708814,116364
01:45:00.000-04:00,02:00:00.000-04:00,17.005422592163086,16.037303924560547,,,,19.068071365356445,72.82839965820312,19.068758010864258,72.82853698730469,,,,95,,,,,869088,30912
02:00:00.000-04:00,02:15:00.000-04:00,15.346353530883789,,,,,,,,,,,,42,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,21.086170196533203,33.15548324584961,,,,,,,,,,,82,,,,,786043,106945
02:30:00.000-04:00,02:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,16,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,18.9571590423584,50.034637451171875,,,,19.068069458007812,72.82839965820312,19.06854248046875,72.82853698730469,,,,173,,,,,832723,67277
03:00:00.000-04:00,03:15:00.000-04:00,38.56638717651367,1663.765380859375,,,,19.053974151611328,72.82380676269531,19.063108444213867,72.82655334472656,4.204003810882568,7.5662736892700195,1.9731193780899048,79,,,,385213,82669,18232
03:15:00.000-04:00,03:30:00.000-04:00,15.346352577209473,,,,,19.048669815063477,72.82716369628906,19.055526733398438,72.84623718261719,0.8300607800483704,1.587104320526123,0.5770614743232727,,,,,,430048,
03:30:00.000-04:00,03:45:00.000-04:00,45.32136535644531,2050.962158203125,,,,19.0546932220459,72.84126281738281,19.064346313476562,72.84313201904297,2.3606157302856445,7.440000057220459,0.6264982223510742,114,,,,522277,219161,
03:45:00.000-04:00,04:00:00.000-04:00,15.346353530883789,,,,,19.050750732421875,72.82959747314453,19.05545425415039,72.84664154052734,6.101588249206543,15.11246109008789,0.6488451361656189,116,,,,,,
04:00:00.000-04:00,04:15:00.000-04:00,48.38913345336914,1734.6429443359375,,,,19.051952362060547,72.82332611083984,19.068714141845703,72.82857513427734,4.177778244018555,7.518151760101318,0.5400000214576721,26,,,,575729,16096,
04:15:00.000-04:00,04:30:00.000-04:00,15.346354484558105,,,,,19.068281173706055,72.82847595214844,19.068668365478516,72.82850646972656,,,,18,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,15.346353530883789,,,,,19.068069458007812,72.8283920288086,19.06877899169922,72.82853698730469,,,,107,,,,,858718,
04:45:00.000-04:00,05:00:00.000-04:00,20.614938735961914,63.92668533325195,,,,19.068071365356445,72.82841491699219,19.068571090698242,72.82853698730469,,,,264,,,,,588518,98165
05:00:00.000-04:00,05:15:00.000-04:00,15.346353530883789,,,,,19.068069458007812,72.82853698730469,19.068069458007812,72.82853698730469,,,,36,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,15.346353530883789,,,,,19.068071365356445,72.82853698730469,19.068071365356445,72.82853698730469,,,,,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,15.346353530883789,,,,,19.068071365356445,72.8285140991211,19.068178176879883,72.82853698730469,,,,,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,15.346353530883789,,,,,19.068069458007812,72.8284912109375,19.068262100219727,72.82853698730469,,,,,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,15.346353530883789,,,,,19.068069458007812,72.82838439941406,19.068683624267578,72.82853698730469,,,,,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,15.346353530883789,,,,,19.068178176879883,72.82838439941406,19.06868553161621,72.8285140991211,,,,7,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,15.346353530883789,,,,,19.068424224853516,72.82838439941406,19.068683624267578,72.82844543457031,,,,11,,,,,693309,
07:00:00.000-04:00,07:15:00.000-04:00,15.346352577209473,,,,,19.068071365356445,72.82853698730469,19.068071365356445,72.82853698730469,,,,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,15.346352577209473,,,,,19.068683624267578,72.82838439941406,19.068683624267578,72.82838439941406,,,,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,15.346352577209473,,,,,19.068069458007812,72.8284912109375,19.068246841430664,72.82853698730469,,,,,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,15.346352577209473,,,,,19.068071365356445,72.82848358154297,19.068294525146484,72.82853698730469,,,,,,,,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,15.346352577209473,,,,,19.068071365356445,72.8284912109375,19.068262100219727,72.82853698730469,,,,,,,,,900000,
