Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,40.45176315307617,558.8583374023438,,,,12.937103271484375,77.62721252441406,12.939143180847168,77.62973022460938,2.1101436614990234,3.20089054107666,0.7510659098625183,935,,,,345763,467768,
00:15:00.000-04:00,00:30:00.000-04:00,63.650001525878906,1191.6639404296875,,,,12.92690658569336,77.62837219238281,12.935736656188965,77.63338470458984,,,,1710,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,32.697296142578125,369.10137939453125,,,,12.924972534179688,77.63338470458984,12.92674446105957,77.63617706298828,,,,658,,,,576715,323285,
00:45:00.000-04:00,01:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,15.346353530883789,,71.0,71.0,71.0,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,11,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,9,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,15.346353530883789,,,,,12.925206184387207,77.6360855102539,12.925206184387207,77.6360855102539,,,,18,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,15.346353530883789,,,,,,,,,,,,55,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,18.000425338745117,73.57356262207031,,,,12.925182342529297,77.63610076904297,12.925503730773926,77.6362075805664,,,,67,,,,763428,49451,
02:45:00.000-04:00,03:00:00.000-04:00,15.346355438232422,,,,,,,,,,,,77,,,,884223,,
03:00:00.000-04:00,03:15:00.000-04:00,15.346354484558105,,,,,,,,,,,,208,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,15.346354484558105,,,,,,,,,,,,44,,,,712067,,
03:30:00.000-04:00,03:45:00.000-04:00,15.346352577209473,,,,,12.925199508666992,77.63609313964844,12.925244331359863,77.6361083984375,,,,81,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,17.956253051757812,9.042404174804688,,,,12.925265312194824,77.63605499267578,12.925265312194824,77.63605499267578,,,,75,,,,785801,48628,
04:15:00.000-04:00,04:30:00.000-04:00,15.346352577209473,,,,,12.925236701965332,77.6361083984375,12.92559814453125,77.63623809814453,,,,269,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,15.346352577209473,,,,,12.925200462341309,77.63609313964844,12.925264358520508,77.63613891601562,,,,225,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,16,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,19.887434005737305,,,,,12.925474166870117,77.6362075805664,12.925474166870117,77.6362075805664,,,,118,,,,704989,84610,
05:15:00.000-04:00,05:30:00.000-04:00,15.346354484558105,,,,,12.92520809173584,77.6360855102539,12.925433158874512,77.63618469238281,,,,9,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,15.346354484558105,,,,,12.925225257873535,77.63609313964844,12.925504684448242,77.6362075805664,,,,15,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,17.68553924560547,9.645231246948242,,,,12.925212860107422,77.6360855102539,12.925288200378418,77.63609313964844,,,,181,,,,694016,43584,
06:30:00.000-04:00,06:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,645082,,
06:45:00.000-04:00,07:00:00.000-04:00,15.346352577209473,,,,,12.925210952758789,77.63609313964844,12.925432205200195,77.63619995117188,,,,,,,,625656,,
07:00:00.000-04:00,07:15:00.000-04:00,15.346353530883789,,,,,12.925210952758789,77.63610076904297,12.925464630126953,77.63619995117188,,,,,,,,900000,,
07:15:00.000-04:00,07:30:00.000-04:00,16.81768226623535,,,,,12.925207138061523,77.63605499267578,12.925207138061523,77.63605499267578,,,,,,,,872586,27414,
07:30:00.000-04:00,07:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,69,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,15.346353530883789,,,,,12.925189971923828,77.63610076904297,12.925189971923828,77.63610076904297,,,,35,,,,780937,,
08:00:00.000-04:00,08:15:00.000-04:00,15.346353530883789,,96.0,96.0,96.0,12.925581932067871,77.63623046875,12.925581932067871,77.63623046875,,,,85,,,,900000,,
08:15:00.000-04:00,08:30:00.000-04:00,15.346353530883789,,,,,,,,,,,,56,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,17.59515380859375,19.89328956604004,,,,12.925201416015625,77.6360855102539,12.92531681060791,77.63613891601562,,,,172,,,,858100,41900,
08:45:00.000-04:00,09:00:00.000-04:00,24.846446990966797,138.2621612548828,,,,12.925053596496582,77.63540649414062,12.925254821777344,77.63638305664062,,,,311,,,,722993,177007,
