Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Strength training duration (ms)
11:30:00.000-04:00,11:45:00.000-04:00,15.346352577209473,,,,,43.46574020385742,-80.54277038574219,43.46581268310547,-80.54271697998047,,,,,,,,,900000,,
11:45:00.000-04:00,12:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
12:00:00.000-04:00,12:15:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
12:15:00.000-04:00,12:30:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
12:30:00.000-04:00,12:45:00.000-04:00,15.346352577209473,,,,,43.4658203125,-80.54273223876953,43.4658203125,-80.54273223876953,,,,,,,,,900000,,
12:45:00.000-04:00,13:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
13:00:00.000-04:00,13:15:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
13:15:00.000-04:00,13:30:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
13:30:00.000-04:00,13:45:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,44.976226806640625,,,,,,,,,,,,0,,,,,586838,,313162
14:15:00.000-04:00,14:30:00.000-04:00,15.346351623535156,,,,,43.46582794189453,-80.54269409179688,43.46582794189453,-80.54269409179688,,,,,,,,,900000,,
14:30:00.000-04:00,14:45:00.000-04:00,15.346351623535156,,,,,,,,,,,,,,,,,900000,,
14:45:00.000-04:00,15:00:00.000-04:00,15.346351623535156,,,,,,,,,,,,17,,,,,900000,,
15:00:00.000-04:00,15:15:00.000-04:00,15.346351623535156,,,,,,,,,,,,16,,,,,900000,,
15:15:00.000-04:00,15:30:00.000-04:00,15.346351623535156,,,,,43.465789794921875,-80.54271697998047,43.46581268310547,-80.54267883300781,,,,,,,,,900000,,
15:30:00.000-04:00,15:45:00.000-04:00,15.346351623535156,,,,,,,,,,,,,,,,,900000,,
15:45:00.000-04:00,16:00:00.000-04:00,21.935293197631836,38.96171951293945,,,,43.46576690673828,-80.5426025390625,43.46576690673828,-80.5426025390625,,,,94,,,,,777234,122766,
16:00:00.000-04:00,16:15:00.000-04:00,19.809019088745117,100.00691986083984,,,,43.465843200683594,-80.54249572753906,43.46686935424805,-80.54054260253906,0.7616675496101379,1.1007270812988281,0.6381222605705261,470,,,,,201639,83149,
16:15:00.000-04:00,16:30:00.000-04:00,15.346352577209473,,,,,43.439537048339844,-80.53720092773438,43.45956039428711,-80.52136993408203,6.8908772468566895,10.140005111694336,4.9900898933410645,33,,,,,,,
16:30:00.000-04:00,16:45:00.000-04:00,15.346352577209473,,,,,43.411922454833984,-80.50694274902344,43.428123474121094,-80.47872924804688,,,,,,,,,,,
16:45:00.000-04:00,17:00:00.000-04:00,20.79087257385254,95.68768310546875,,,,43.41015625,-80.47639465332031,43.419227600097656,-80.45315551757812,,,,249,,,,,,101443,
17:00:00.000-04:00,17:15:00.000-04:00,63.64999771118164,1008.2092895507812,,,,43.42152786254883,-80.4377212524414,43.421531677246094,-80.43766784667969,1.2302131652832031,1.300038456916809,1.1603878736495972,1414,,,,,,900000,
17:15:00.000-04:00,17:30:00.000-04:00,46.40162658691406,378.0108642578125,,,,,,,,,,,701,,,,,321374,578626,
17:30:00.000-04:00,17:45:00.000-04:00,15.346354484558105,,,,,43.42487716674805,-80.43872833251953,43.425045013427734,-80.43865203857422,0.7599299550056458,0.8956003785133362,0.6242595314979553,298,,,,,790746,,
17:45:00.000-04:00,18:00:00.000-04:00,58.57403564453125,415.55712890625,,,,43.4245491027832,-80.43920135498047,43.42469024658203,-80.43870544433594,,,,638,,,,,94576,805424,
18:00:00.000-04:00,18:15:00.000-04:00,63.64999771118164,540.173828125,,,,43.42380905151367,-80.43962860107422,43.4246940612793,-80.43812561035156,,,,897,,,,,,900000,
18:15:00.000-04:00,18:30:00.000-04:00,63.64999771118164,315.5231628417969,,,,43.42525863647461,-80.43834686279297,43.42582321166992,-80.43741607666016,1.140394687652588,1.140394687652588,1.140394687652588,527,,,,,,900000,
18:30:00.000-04:00,18:45:00.000-04:00,40.904666900634766,416.8561096191406,,,,43.423954010009766,-80.43997192382812,43.42534255981445,-80.43762969970703,1.1700427532196045,1.1700427532196045,1.1700427532196045,657,,,,,146776,476206,
18:45:00.000-04:00,19:00:00.000-04:00,21.095294952392578,86.41340637207031,,,,43.42462921142578,-80.4393081665039,43.425113677978516,-80.43816375732422,0.9420927166938782,2.3801891803741455,0.6324555277824402,411,,,,,792885,107115,
19:00:00.000-04:00,19:15:00.000-04:00,34.88911819458008,346.7705078125,,,,43.422950744628906,-80.4403305053711,43.42508316040039,-80.43860626220703,1.4679713249206543,1.6745147705078125,1.2614277601242065,562,,,,,31311,363429,
19:15:00.000-04:00,19:30:00.000-04:00,15.346352577209473,,,,,43.421573638916016,-80.46009826660156,43.424983978271484,-80.44102478027344,4.160147666931152,8.810142517089844,1.0501904487609863,235,,,,,,,
19:30:00.000-04:00,19:45:00.000-04:00,15.346352577209473,,,,,43.427547454833984,-80.49535369873047,43.449493408203125,-80.46308135986328,4.120206356048584,10.37001895904541,2.2605528831481934,,,,,,,,
19:45:00.000-04:00,20:00:00.000-04:00,15.346352577209473,,,,,43.453765869140625,-80.52581787109375,43.476470947265625,-80.49327850341797,5.2464680671691895,12.940003395080566,0.6103277802467346,20,,,,,,,
