Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-05:00,00:15:00.000-05:00,15.971353530883789,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,,,,,,900000,,
00:15:00.000-05:00,00:30:00.000-05:00,15.971353530883789,,,,,,,,,,,,,,,,,900000,,
00:30:00.000-05:00,00:45:00.000-05:00,15.971353530883789,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,,,,,,900000,,
00:45:00.000-05:00,01:00:00.000-05:00,15.971353530883789,,,,,,,,,,,,,,,,,900000,,
01:00:00.000-05:00,01:15:00.000-05:00,15.971353530883789,,,,,,,,,,,,51,,,,,900000,,
01:15:00.000-05:00,01:30:00.000-05:00,15.971353530883789,,,,,,,,,,,,8,,,,,900000,,
01:30:00.000-05:00,01:45:00.000-05:00,15.971353530883789,,,,,19.07005500793457,72.82967376708984,19.07005500793457,72.82967376708984,,,,119,,,,,900000,,
01:45:00.000-05:00,02:00:00.000-05:00,18.445810317993164,21.59400749206543,,,,19.068513870239258,72.82835388183594,19.068565368652344,72.82837677001953,,,,292,,,,,858279,41721,
02:00:00.000-05:00,02:15:00.000-05:00,20.692811965942383,52.5537109375,,,,19.068567276000977,72.82833099365234,19.068620681762695,72.828369140625,,,,119,,,,,820394,79606,
02:15:00.000-05:00,02:30:00.000-05:00,15.971354484558105,,,,,19.068567276000977,72.82832336425781,19.06863021850586,72.828369140625,,,,1,,,,,900000,,
02:30:00.000-05:00,02:45:00.000-05:00,15.971354484558105,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,129,,,,,407399,,
02:45:00.000-05:00,03:00:00.000-05:00,15.971353530883789,,,,,,,,,,,,249,,,,,,,
03:00:00.000-05:00,03:15:00.000-05:00,15.971353530883789,,,,,19.068456649780273,72.82833099365234,19.068496704101562,72.82833862304688,,,,345,,,,,407026,,
03:15:00.000-05:00,03:30:00.000-05:00,15.971353530883789,,,,,19.046329498291016,72.82437133789062,19.060853958129883,72.8289566040039,,,,,,,,,,,
03:30:00.000-05:00,03:45:00.000-05:00,15.971353530883789,,,,,,,,,,,,53,,,,,,,
03:45:00.000-05:00,04:00:00.000-05:00,53.79677200317383,465.7412109375,,,,18.993427276611328,72.82469177246094,18.994234085083008,72.82483673095703,3.0372376441955566,4.031128883361816,2.015564441680908,761,,,,,110107,637762,
04:00:00.000-05:00,04:15:00.000-05:00,45.36341857910156,516.8340454101562,,,,18.993791580200195,72.82459259033203,18.994224548339844,72.82489776611328,,,,835,,,,,404430,495570,
04:15:00.000-05:00,04:30:00.000-05:00,15.971352577209473,,,,,18.99382209777832,72.8244857788086,18.99385643005371,72.82453918457031,,,,19,,,,,900000,,
04:30:00.000-05:00,04:45:00.000-05:00,15.971352577209473,,,,,18.99374008178711,72.82452392578125,18.993921279907227,72.82457733154297,,,,,,,,,900000,,
04:45:00.000-05:00,05:00:00.000-05:00,15.971353530883789,,,,,18.993755340576172,72.82418060302734,18.994245529174805,72.82454681396484,,,,126,,,,,656501,,
05:00:00.000-05:00,05:15:00.000-05:00,34.468414306640625,175.90362548828125,,,,18.994060516357422,72.8244400024414,18.994665145874023,72.82474517822266,,,,361,,,,,,311873,
05:15:00.000-05:00,05:30:00.000-05:00,45.85325241088867,228.68841552734375,,,,18.994731903076172,72.82383728027344,18.995073318481445,72.82543182373047,,,,306,,,,,396171,503829,
05:30:00.000-05:00,05:45:00.000-05:00,23.70307159423828,100.47904968261719,,,,18.994951248168945,72.82443237304688,18.995927810668945,72.826171875,1.4199479818344116,1.8027756214141846,0.5,454,,,,,634447,130362,
05:45:00.000-05:00,06:00:00.000-05:00,15.971352577209473,,,,,18.99547004699707,72.82548522949219,19.0167236328125,72.84044647216797,1.3165360689163208,3.5,0.5,116,,,,,,,
06:00:00.000-05:00,06:15:00.000-05:00,15.971352577209473,,,,,19.017261505126953,72.8238754272461,19.05207633972168,72.84600067138672,4.699368476867676,8.381526947021484,1.0,164,,,,,29975,,
06:15:00.000-05:00,06:30:00.000-05:00,102.77025604248047,1295.0,,,,19.05180549621582,72.82413482666016,19.06878662109375,72.82847595214844,1.3397364616394043,1.8027756214141846,0.75,1,,,,869161,30839,,
06:30:00.000-05:00,06:45:00.000-05:00,31.571693420410156,,,,,19.06856346130371,72.82833099365234,19.068622589111328,72.82837677001953,,,,6,,,,156214,743786,,
06:45:00.000-05:00,07:00:00.000-05:00,15.971354484558105,,,,,,,,,,,,,,,,,900000,,
07:00:00.000-05:00,07:15:00.000-05:00,15.971354484558105,,,,,,,,,,,,,,,,,900000,,
07:15:00.000-05:00,07:30:00.000-05:00,15.971353530883789,,,,,19.068517684936523,72.82839965820312,19.068517684936523,72.82839965820312,,,,109,,,,,525502,,
07:30:00.000-05:00,07:45:00.000-05:00,15.971354484558105,,,,,19.052684783935547,72.82439422607422,19.068601608276367,72.8283462524414,,,,86,,,,,,,
07:45:00.000-05:00,08:00:00.000-05:00,15.971354484558105,,,,,19.048259735107422,72.8277587890625,19.096019744873047,72.85279846191406,,,,46,,,,,,,
