Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,18.608781814575195,35.84769821166992,,,,12.939087867736816,77.62896728515625,12.939282417297363,77.62910461425781,,,,91,,,,839214,60786
00:15:00.000-04:00,00:30:00.000-04:00,63.650001525878906,1306.8695068359375,,,,12.93447494506836,77.62700653076172,12.939369201660156,77.62973022460938,1.2281533479690552,2.5723531246185303,0.5166236758232117,1546,,,,,900000
00:30:00.000-04:00,00:45:00.000-04:00,60.96286392211914,1210.89208984375,,,,12.924979209899902,77.63198852539062,12.932158470153809,77.63606262207031,1.283517599105835,2.335658311843872,0.6826419234275818,1581,,,,,849933
00:45:00.000-04:00,01:00:00.000-04:00,17.605998992919922,12.6593656539917,,,,12.925214767456055,77.6360855102539,12.925214767456055,77.6360855102539,,,,156,,,,790643,42102
01:00:00.000-04:00,01:15:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,15.346354484558105,,,,,,,,,,,,25,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,85,,,,874017,
02:00:00.000-04:00,02:15:00.000-04:00,15.346353530883789,,,,,,,,,,,,7,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,15.346353530883789,,,,,,,,,,,,4,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,15.346353530883789,,,,,,,,,,,,8,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,15.346353530883789,,,,,12.92522144317627,77.63607788085938,12.925272941589355,77.63607788085938,,,,9,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,15,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,29,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,18.275272369384766,,,,,12.925226211547852,77.63607025146484,12.925597190856934,77.63623809814453,,,,129,,,,624492,54572
04:15:00.000-04:00,04:30:00.000-04:00,15.346353530883789,,,,,,,,,,,,138,,,,820942,
04:30:00.000-04:00,04:45:00.000-04:00,15.346353530883789,,,,,12.925206184387207,77.63607788085938,12.9253511428833,77.63621520996094,,,,181,,,,667310,
04:45:00.000-04:00,05:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,54,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,15.346353530883789,,,,,12.925199508666992,77.6360855102539,12.925501823425293,77.6362075805664,,,,5,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,15.346353530883789,,,,,12.925227165222168,77.63607788085938,12.925300598144531,77.63610076904297,,,,20,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,15.346353530883789,,,,,12.925228118896484,77.63607788085938,12.925339698791504,77.63614654541016,,,,10,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,21.94989013671875,34.36113739013672,,,,,,,,,,,189,,,,686233,123038
06:15:00.000-04:00,06:30:00.000-04:00,15.346352577209473,,,,,12.925191879272461,77.6360855102539,12.92548656463623,77.63619995117188,,,,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,15.346352577209473,,,,,,,,,,,,24,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,15.346352577209473,,,,,12.92531967163086,77.63611602783203,12.92531967163086,77.63611602783203,,,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,15.346352577209473,,,,,12.925257682800293,77.6360855102539,12.925257682800293,77.6360855102539,,,,10,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,15.346352577209473,,,,,,,,,,,,11,,,,900000,
