Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,15.971352577209473,,,,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,15.971352577209473,,,,,,,,,,,,10,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,15.971352577209473,,,,,,,,,,,,11,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,15.971352577209473,,,,,,,,,,,,178,,,,715057,
01:00:00.000-04:00,01:15:00.000-04:00,15.971353530883789,,,,,,,,,,,,6,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,15.971353530883789,,,,,,,,,,,,36,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,15.971353530883789,,,,,,,,,,,,13,,,,285872,
01:45:00.000-04:00,02:00:00.000-04:00,15.971352577209473,,,,,19.068601608276367,72.82835388183594,19.068601608276367,72.82835388183594,,,,,,,,,
02:00:00.000-04:00,02:15:00.000-04:00,15.971351623535156,,,,,19.068532943725586,72.82833862304688,19.068532943725586,72.82833862304688,,,,38,,,,320905,
02:15:00.000-04:00,02:30:00.000-04:00,15.971353530883789,,,,,,,,,,,,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,15.971352577209473,,,,,19.068532943725586,72.82829284667969,19.068647384643555,72.82833862304688,,,,5,,,,167201,
02:45:00.000-04:00,03:00:00.000-04:00,15.971352577209473,,,,,19.06854248046875,72.8283462524414,19.06854248046875,72.8283462524414,,,,,,,,,
03:00:00.000-04:00,03:15:00.000-04:00,15.971352577209473,,,,,19.068571090698242,72.82831573486328,19.068628311157227,72.82831573486328,,,,,,,,,
03:15:00.000-04:00,03:30:00.000-04:00,15.971353530883789,,,,,19.068540573120117,72.82830047607422,19.068721771240234,72.8283462524414,,,,19,,,,435089,
03:30:00.000-04:00,03:45:00.000-04:00,15.971354484558105,,,,,19.068552017211914,72.82831573486328,19.068662643432617,72.828369140625,,,,60,,,,763480,
03:45:00.000-04:00,04:00:00.000-04:00,15.971353530883789,,,,,19.068540573120117,72.82831573486328,19.068584442138672,72.8283462524414,,,,,,,,,
04:00:00.000-04:00,04:15:00.000-04:00,15.971353530883789,,,,,19.068532943725586,72.82831573486328,19.068662643432617,72.82833862304688,,,,,,,,,
04:15:00.000-04:00,04:30:00.000-04:00,15.971353530883789,,,,,19.068559646606445,72.82833862304688,19.068758010864258,72.82836151123047,,,,2,,,,357609,
04:30:00.000-04:00,04:45:00.000-04:00,21.44468116760254,68.17153930664062,,,,,,,,,,,208,,,,494440,92284
04:45:00.000-04:00,05:00:00.000-04:00,15.971351623535156,,,,,,,,,,,,634,,,,419094,
05:00:00.000-04:00,05:15:00.000-04:00,15.971352577209473,,,,,19.068540573120117,72.82832336425781,19.068635940551758,72.8283462524414,,,,48,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,15.971354484558105,,,,,19.068540573120117,72.82833099365234,19.06865119934082,72.82836151123047,,,,184,,,,808129,
05:30:00.000-04:00,05:45:00.000-04:00,15.971353530883789,,,,,,,,,,,,46,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,15.971353530883789,,,,,19.06856918334961,72.82836151123047,19.06861686706543,72.82843017578125,,,,77,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,15.971353530883789,,,,,,,,,,,,19,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,26.186899185180664,175.405029296875,,,,,,,,,,,300,,,,727759,172241
06:30:00.000-04:00,06:45:00.000-04:00,16.498083114624023,,,,,,,,,,,,10,,,,891119,8881
06:45:00.000-04:00,07:00:00.000-04:00,15.971353530883789,,,,,,,,,,,,221,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,15.971353530883789,,,,,,,,,,,,35,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,15.971353530883789,,,,,,,,,,,,29,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,15.971353530883789,,,,,19.068559646606445,72.82830810546875,19.068593978881836,72.82836151123047,,,,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,15.971353530883789,,,,,,,,,,,,233,,,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,15.971353530883789,,,,,19.054851531982422,72.82421112060547,19.068614959716797,72.82827758789062,4.782902717590332,8.385254859924316,3.535533905029297,2,,,,343928,
08:15:00.000-04:00,08:30:00.000-04:00,23.349170684814453,75.95619201660156,,,,19.045974731445312,72.8214111328125,19.05332374572754,72.82444763183594,2.2981455326080322,3.25,1.346291184425354,137,,,,420959,124395
08:30:00.000-04:00,08:45:00.000-04:00,15.971352577209473,,,,,19.04649543762207,72.82129669189453,19.04732322692871,72.82156372070312,,,,,,,,900000,
08:45:00.000-04:00,09:00:00.000-04:00,15.971352577209473,,,,,19.04645538330078,72.82128143310547,19.047399520874023,72.82161712646484,,,,,,,,900000,
09:00:00.000-04:00,09:15:00.000-04:00,15.971352577209473,,,,,19.046396255493164,72.82125854492188,19.047109603881836,72.82149505615234,,,,,,,,900000,
09:15:00.000-04:00,09:30:00.000-04:00,15.971352577209473,,,,,19.04647445678711,72.8212890625,19.047224044799805,72.82152557373047,,,,,,,,900000,
09:30:00.000-04:00,09:45:00.000-04:00,15.971352577209473,,,,,19.046863555908203,72.8214111328125,19.047069549560547,72.82147216796875,,,,,,,,900000,
09:45:00.000-04:00,10:00:00.000-04:00,15.971353530883789,,,,,19.04616355895996,72.82120513916016,19.05857276916504,72.82512664794922,8.378527641296387,8.5,7.766112327575684,5,,,,228359,
10:00:00.000-04:00,10:15:00.000-04:00,32.703006744384766,186.86253356933594,,,,19.060853958129883,72.82272338867188,19.068984985351562,72.8284912109375,4.031128883361816,4.031128883361816,4.031128883361816,341,,,,,282107
10:15:00.000-04:00,10:30:00.000-04:00,15.971353530883789,,,,,19.06859016418457,72.82833862304688,19.068668365478516,72.8283462524414,,,,102,,,,368265,
10:30:00.000-04:00,10:45:00.000-04:00,15.971353530883789,,,,,,,,,,,,150,,,,900000,
10:45:00.000-04:00,11:00:00.000-04:00,15.971353530883789,,,,,19.06854820251465,72.82836151123047,19.06854820251465,72.82836151123047,,,,129,,,,888779,
11:00:00.000-04:00,11:15:00.000-04:00,15.971354484558105,,,,,,,,,,,,153,,,,401733,
11:15:00.000-04:00,11:30:00.000-04:00,15.971354484558105,,,,,19.068565368652344,72.82830810546875,19.068565368652344,72.82830810546875,,,,,,,,900000,
11:30:00.000-04:00,11:45:00.000-04:00,22.038013458251953,30.341392517089844,,,,19.068540573120117,72.8283462524414,19.068958282470703,72.8283462524414,,,,72,,,,294453,102288
11:45:00.000-04:00,12:00:00.000-04:00,15.971353530883789,,,,,19.06854248046875,72.82831573486328,19.068592071533203,72.82835388183594,,,,,,,,,
12:00:00.000-04:00,12:15:00.000-04:00,28.51711654663086,193.8224334716797,,,,19.068540573120117,72.8283462524414,19.068540573120117,72.8283462524414,,,,480,,,,537574,211530
12:15:00.000-04:00,12:30:00.000-04:00,31.89541244506836,342.5636901855469,,,,19.070159912109375,72.82579040527344,19.071361541748047,72.82662963867188,,,,579,,,,631510,268490
12:30:00.000-04:00,12:45:00.000-04:00,15.971352577209473,,,,,,,,,,,,83,,,,900000,
12:45:00.000-04:00,13:00:00.000-04:00,15.971352577209473,,,,,19.07131004333496,72.82571411132812,19.071317672729492,72.8257827758789,,,,207,,,,900000,
13:00:00.000-04:00,13:15:00.000-04:00,15.971352577209473,,,,,19.071285247802734,72.8257064819336,19.071304321289062,72.82575225830078,,,,,,,,900000,
13:15:00.000-04:00,13:30:00.000-04:00,15.971352577209473,,,,,19.071304321289062,72.82579040527344,19.071304321289062,72.82579040527344,,,,90,,,,900000,
