Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-05:00,00:15:00.000-05:00,15.346354484558105,,,,,,,,,,,,32,,,,220657,,
00:15:00.000-05:00,00:30:00.000-05:00,15.346354484558105,,,,,,,,,,,,,,,,,,
00:30:00.000-05:00,00:45:00.000-05:00,35.04399108886719,384.0247802734375,,,,37.61738967895508,-122.3929672241211,37.61836624145508,-122.38933563232422,,,,726,,,,425006,367009,
00:45:00.000-05:00,01:00:00.000-05:00,22.38260841369629,260.68511962890625,,,,37.61570739746094,-122.39031219482422,37.61702346801758,-122.38933563232422,,,,166,,,,278998,107767,
01:00:00.000-05:00,01:15:00.000-05:00,15.346353530883789,,,,,37.61695098876953,-122.39004516601562,37.61710739135742,-122.38977813720703,,,,,,,,777598,,
01:15:00.000-05:00,01:30:00.000-05:00,25.576152801513672,66.106689453125,,,,37.61594009399414,-122.38969421386719,37.6165771484375,-122.38906860351562,,,,280,,,,628399,190603,
01:30:00.000-05:00,01:45:00.000-05:00,15.346354484558105,,,,,37.61804962158203,-122.42289733886719,37.77154541015625,-122.38835906982422,23.83985710144043,32.31015396118164,0.9413288235664368,33,,,,,,
01:45:00.000-05:00,02:00:00.000-05:00,22.054765701293945,74.14771270751953,,,,37.7647819519043,-122.43588256835938,37.769020080566406,-122.42727661132812,2.2956511974334717,5.400000095367432,0.6906518936157227,170,,,,253703,124992,
02:00:00.000-05:00,02:15:00.000-05:00,15.346352577209473,,,,,,,,,,,,43,,,,831258,,
02:15:00.000-05:00,02:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,21,,,,862829,,
02:30:00.000-05:00,02:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,10,,,,900000,,
02:45:00.000-05:00,03:00:00.000-05:00,15.346353530883789,,,,,37.76521301269531,-122.43588256835938,37.76528549194336,-122.43588256835938,,,,22,,,,833366,,
03:00:00.000-05:00,03:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
03:15:00.000-05:00,03:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
03:30:00.000-05:00,03:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
03:45:00.000-05:00,04:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
04:00:00.000-05:00,04:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
04:15:00.000-05:00,04:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
04:30:00.000-05:00,04:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
04:45:00.000-05:00,05:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
05:00:00.000-05:00,05:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
05:15:00.000-05:00,05:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
05:30:00.000-05:00,05:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
05:45:00.000-05:00,06:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
06:00:00.000-05:00,06:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
06:15:00.000-05:00,06:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
06:30:00.000-05:00,06:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,18,,,,900000,,
06:45:00.000-05:00,07:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
07:00:00.000-05:00,07:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
07:15:00.000-05:00,07:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,8,,,,900000,,
07:30:00.000-05:00,07:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
07:45:00.000-05:00,08:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
08:00:00.000-05:00,08:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
08:15:00.000-05:00,08:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
08:30:00.000-05:00,08:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
08:45:00.000-05:00,09:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
09:00:00.000-05:00,09:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,93,,,,900000,,
09:15:00.000-05:00,09:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
09:30:00.000-05:00,09:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
09:45:00.000-05:00,10:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,14,,,,900000,,
10:00:00.000-05:00,10:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
10:15:00.000-05:00,10:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
10:30:00.000-05:00,10:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
10:45:00.000-05:00,11:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
11:00:00.000-05:00,11:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
11:15:00.000-05:00,11:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
11:30:00.000-05:00,11:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
11:45:00.000-05:00,12:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
12:00:00.000-05:00,12:15:00.000-05:00,15.346353530883789,,,,,37.76527404785156,-122.43588256835938,37.7653923034668,-122.435791015625,2.151139259338379,2.151139259338379,2.151139259338379,93,,,,704530,,
12:15:00.000-05:00,12:30:00.000-05:00,15.346352577209473,,,,,37.765235900878906,-122.43595123291016,37.76533126831055,-122.4358901977539,0.6824221611022949,0.6824221611022949,0.6824221611022949,0,,,,900000,,
12:30:00.000-05:00,12:45:00.000-05:00,15.346353530883789,,,,,37.765228271484375,-122.4359359741211,37.76531982421875,-122.43582916259766,0.9601677060127258,1.5250245332717896,0.9541488289833069,14,,,,765551,,
12:45:00.000-05:00,13:00:00.000-05:00,15.346353530883789,,,,,37.76520919799805,-122.4360580444336,37.76544952392578,-122.43583679199219,,,,,,,,900000,,
13:00:00.000-05:00,13:15:00.000-05:00,15.346353530883789,,,,,37.76524353027344,-122.43604278564453,37.76555252075195,-122.43584442138672,,,,,,,,900000,,
13:15:00.000-05:00,13:30:00.000-05:00,15.346353530883789,,,,,37.765380859375,-122.43605041503906,37.76567840576172,-122.43584442138672,0.6717886328697205,0.6717886328697205,0.6717886328697205,9,,,,900000,,
13:30:00.000-05:00,13:45:00.000-05:00,49.67070007324219,515.45751953125,,,,37.761322021484375,-122.4358901977539,37.765724182128906,-122.43515014648438,1.2156177759170532,2.0241787433624268,0.6717886328697205,879,,,,165112,364828,120326
