Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
14:00:00.000-05:00,14:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
14:15:00.000-05:00,14:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
14:30:00.000-05:00,14:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
14:45:00.000-05:00,15:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
15:00:00.000-05:00,15:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
15:15:00.000-05:00,15:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
15:30:00.000-05:00,15:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
15:45:00.000-05:00,16:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
16:00:00.000-05:00,16:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
16:15:00.000-05:00,16:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
16:30:00.000-05:00,16:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
16:45:00.000-05:00,17:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
17:00:00.000-05:00,17:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
17:15:00.000-05:00,17:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
17:30:00.000-05:00,17:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
17:45:00.000-05:00,18:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
18:00:00.000-05:00,18:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
18:15:00.000-05:00,18:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
18:30:00.000-05:00,18:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
18:45:00.000-05:00,19:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
19:00:00.000-05:00,19:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
19:15:00.000-05:00,19:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
19:30:00.000-05:00,19:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
19:45:00.000-05:00,20:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
20:00:00.000-05:00,20:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
20:15:00.000-05:00,20:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
20:30:00.000-05:00,20:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
20:45:00.000-05:00,21:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
21:00:00.000-05:00,21:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
21:15:00.000-05:00,21:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
21:30:00.000-05:00,21:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
21:45:00.000-05:00,22:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
22:00:00.000-05:00,22:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
22:15:00.000-05:00,22:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
22:30:00.000-05:00,22:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
22:45:00.000-05:00,23:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
23:00:00.000-05:00,23:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
23:15:00.000-05:00,23:30:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
23:30:00.000-05:00,23:45:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
23:45:00.000-05:00,00:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,,,,
