Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
00:00:00.000-05:00,00:15:00.000-05:00,15.346353530883789,,,,,22.537498474121094,88.33412170410156,22.537498474121094,88.33412170410156,,,,284,,,,,554974,
00:15:00.000-05:00,00:30:00.000-05:00,22.812957763671875,71.13357543945312,,,,22.53680419921875,88.33368682861328,22.537765502929688,88.33444213867188,,,,549,,,,,119484,139119
00:30:00.000-05:00,00:45:00.000-05:00,20.778690338134766,,,,,22.52452850341797,88.3265151977539,22.52452850341797,88.3265151977539,,,,116,,,,,201806,101216
00:45:00.000-05:00,01:00:00.000-05:00,15.346353530883789,,,,,,,,,,,,194,,,,,415114,
01:00:00.000-05:00,01:15:00.000-05:00,15.346353530883789,,,,,,,,,,,,19,,,,,673443,
01:15:00.000-05:00,01:30:00.000-05:00,18.83403778076172,41.595062255859375,,,,,,,,,,,244,,,,,574203,64983
01:30:00.000-05:00,01:45:00.000-05:00,15.346354484558105,,,,,,,,,,,,282,,,,,368790,
01:45:00.000-05:00,02:00:00.000-05:00,33.45676803588867,331.06536865234375,,,,22.523746490478516,88.32611083984375,22.525009155273438,88.32677459716797,,,,332,,,,145938,142615,181377
02:00:00.000-05:00,02:15:00.000-05:00,39.92809295654297,534.682373046875,,,,22.522174835205078,88.32632446289062,22.52463150024414,88.32889556884766,,,,128,,,,428306,33799,
02:15:00.000-05:00,02:30:00.000-05:00,20.204143524169922,65.22935485839844,,,,22.522432327270508,88.3265151977539,22.52452850341797,88.3303451538086,,,,448,,,,,516830,90511
02:30:00.000-05:00,02:45:00.000-05:00,15.346352577209473,,,,,22.52269744873047,88.33026885986328,22.523303985595703,88.33057403564453,,,,62,,,,,190901,
02:45:00.000-05:00,03:00:00.000-05:00,15.346353530883789,,,,,22.522655487060547,88.33023834228516,22.522655487060547,88.33023834228516,,,,37,,,,,531362,
03:00:00.000-05:00,03:15:00.000-05:00,15.346353530883789,,,,,22.52269744873047,88.33020782470703,22.523303985595703,88.33057403564453,,,,69,,,,,305021,
03:15:00.000-05:00,03:30:00.000-05:00,24.497373580932617,179.32374572753906,,,,22.52269744873047,88.3301773071289,22.52339744567871,88.33049774169922,,,,120,,,,,567736,170503
03:30:00.000-05:00,03:45:00.000-05:00,33.75346755981445,1153.33740234375,,,,22.522546768188477,88.32743072509766,22.52721405029297,88.33125305175781,3.0977025032043457,5.220468997955322,0.9749358892440796,369,,,,219019,18429,108756
03:45:00.000-05:00,04:00:00.000-05:00,56.13034439086914,1685.64453125,,,,22.530330657958984,88.3316879272461,22.539325714111328,88.3341064453125,2.618070363998413,10.650004386901855,0.5024937987327576,204,,,,572687,,147489
04:00:00.000-05:00,04:15:00.000-05:00,26.00721549987793,196.22520446777344,,,,22.537445068359375,88.33353424072266,22.538055419921875,88.3345947265625,,,,230,,,,,520386,180902
04:15:00.000-05:00,04:30:00.000-05:00,15.346353530883789,,,,,22.53782081604004,88.33444213867188,22.53806495666504,88.3348159790039,,,,144,,,,,263476,
04:30:00.000-05:00,04:45:00.000-05:00,22.37351417541504,143.0631103515625,,,,22.537273406982422,88.33338165283203,22.538034439086914,88.33480072021484,,,,302,,,,,616844,114516
04:45:00.000-05:00,05:00:00.000-05:00,15.346353530883789,,,,,22.537630081176758,88.33361053466797,22.538043975830078,88.33403015136719,,,,35,,,,,900000,
05:00:00.000-05:00,05:15:00.000-05:00,15.346353530883789,,,,,22.53744125366211,88.33338165283203,22.537843704223633,88.33372497558594,,,,,,,,,900000,
05:15:00.000-05:00,05:30:00.000-05:00,15.346353530883789,,,,,22.537487030029297,88.33345794677734,22.53777313232422,88.3337173461914,,,,,,,,,900000,
05:30:00.000-05:00,05:45:00.000-05:00,24.462806701660156,134.02133178710938,,,,22.537578582763672,88.33338165283203,22.537797927856445,88.33379364013672,,,,218,,,,,507736,169859
05:45:00.000-05:00,06:00:00.000-05:00,15.346352577209473,,,,,22.537622451782227,88.33443450927734,22.5379695892334,88.3347396850586,,,,366,,,,,475005,
06:00:00.000-05:00,06:15:00.000-05:00,18.187788009643555,39.803619384765625,,,,22.53730583190918,88.3341064453125,22.537586212158203,88.33428955078125,,,,303,,,,,238742,52942
06:15:00.000-05:00,06:30:00.000-05:00,15.346353530883789,,,,,22.536746978759766,88.33858489990234,22.56374168395996,88.34552001953125,9.906309127807617,15.031200408935547,3.430058240890503,23,,,,,175447,
06:30:00.000-05:00,06:45:00.000-05:00,19.855283737182617,35.56679153442383,,,,22.56387710571289,88.33776092529297,22.564821243286133,88.33877563476562,1.4437122344970703,2.3612284660339355,0.7905694246292114,256,,,,,,84011
06:45:00.000-05:00,07:00:00.000-05:00,15.456808090209961,0.6028269529342651,,,,22.56816291809082,88.33676147460938,22.573219299316406,88.33734893798828,,,,196,,,,,263601,2058
07:00:00.000-05:00,07:15:00.000-05:00,15.346352577209473,,,,,22.5648193359375,88.33734893798828,22.568164825439453,88.33866882324219,,,,67,,,,,412320,
07:15:00.000-05:00,07:30:00.000-05:00,15.346352577209473,,,,,22.56816291809082,88.33734893798828,22.56816291809082,88.33734893798828,,,,54,,,,,161277,
07:30:00.000-05:00,07:45:00.000-05:00,15.346353530883789,,,,,22.56816291809082,88.33335876464844,22.578914642333984,88.33734893798828,,,,13,,,,,344683,
